Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
933,BURBERRY,For Women EDP Natural Sp,378.0,153.75,100,EDP,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8,garmid,3.7,98,False,False,False,True,False,True,False,False,False
934,Dolce & Gabbana,K,338.0,269.0,100,EDT,Men,Woody,"Blood Orange, Pressed Sicilian Lemon And Juniper Berries","Pimento, Clary Sage, Geranium And Lavandin",4.1,Grass gulf,3.7,98,False,True,False,False,False,False,True,False,False
935,JOVAN,Musk Cologne Sp,55.0,19.0,59,EDT,Women,Woody,"Musk, Amber, Wood",Ylang-ylang,4.7,garmid,3.7,1.9K,False,False,False,True,False,False,True,False,False
936,Dolce & Gabbana,K,26.0,14.1,100,EDT,Men,Aromatic,"Woody, Masculine, Cedarwood, Vetiver, Patchouli Accords","Pimento, Clary Sage, Geranium, Lavandin",3.0,beautiful lady,4.3,5,False,True,False,False,False,False,True,False,False
937,LACOSTE,L.12.12 Blanc-Pure,347.0,94.2,100,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver","Ylang-Ylang, Tuberose",4.6,garmid,3.7,98,False,True,False,False,False,False,True,False,False
938,TED LAPIDUS,Pour Homme,129.0,44.45,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5.0,neo lek,3.6,88,False,True,False,False,False,False,True,False,False
939,HUGO BOSS,Bottled Unlimited,373.0,126.0,100,EDT,Men,Vanilla,Sandalwood And Musk,Pineapple And Rose,4.4,Al-Najm,3.7,347,False,True,False,False,False,False,True,False,False
940,GIORGIO ARMANI,Stronger With You,415.0,170.0,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
941,HUGO BOSS,Ma Vie,415.0,137.55,75,EDP,Women,Floral,Cedar and Woody Notes,"Pink Freesia, Jasmine and Rose",4.7,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
942,DORALL COLLECTION,Pink Hearts,29.0,8.15,100,EDT,Women,Floral,"Caramel, Musk, Tonka, Sandalwood And Vanilla","Red Berries, Lily Of The Valley, Licorice, Cotton Candy And Strawberry",4.4,B.A.G,3.7,14.1K,False,False,False,True,False,False,True,False,False
943,Givenchy,Xeryus Rouge,455.0,214.4,100,EDT,Men,Woody,Cedar Wood,Red Pepper,4.8,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
944,Dolce & Gabbana,The Only One 2,614.0,137.9,100,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",4.3,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
945,TESORI D´ORIENTE,White Musk,60.0,39.95,100,EDT,Men,Woody,"Aldehyde, Jasmine, White Flowers",Rose,4.2,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
946,Mancera,Roses Vanille,446.0,248.8,120,EDP,Women,Arabian,"Cedar, Vanilla, Sugar, White Musk",Rose and Sugar,5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
947,BURBERRY,My Blush,431.0,181.0,50,EDP,Women,Arabian,"Jasmine,Wisteria","Rose Petals, Green Apple and Geranium",4.6,Fnoon,3.7,5,False,False,False,True,False,True,False,False,False
948,BURBERRY,My Burberry Blush,699.0,199.9,90,EDP,Women,Arabian,Jasmine and Wisteria,"Rose petals, Green apple and Geranium",4.5,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
949,Guerlain,L'Instant Magic,725.0,422.0,100,EDP,Women,Woody,"Wood, Almond","Rose, Freesia",4.7,PARFUM.1990,4.1,33,False,False,False,True,False,True,False,False,False
950,Dunhill,London,290.0,109.65,75,EDT,Men,Arabian,"Patchouli, Sandalwood, Tonka Bean, Vanilla And Musk","Rose, Geranium And Jasmine",3.4,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
951,BURBERRY,Body Mini ED,34.0,23.0,5,EDT,Women,Woody,"Sandalwood, Cashmerean, Musk, Amber, Vanilla","Rose, Iris",1.0,Royal Scent,3.5,5,False,False,False,True,False,False,True,False,False
952,TRI,En Joy,10.0,9.9,100,EDT,Women,Floral,"Sandalwood, Cedar, Patchoulli, Musk, Benzoin","Rose, Jasmine, Cassis, Peach",4.1,Parisian Store,4.1,425,False,False,False,True,False,False,True,False,False
953,Mancera,Rose Greedy,446.0,269.0,120,EDP,Unisex,"Rose, Floral","White Musk, Amber, Vanilla, Sugar","Rose, Jasmine, Flowers",4.5,AMLAQ,3.9,135,False,False,True,False,False,True,False,False,False
954,DORALL COLLECTION,Oud Maaruf,29.0,11.49,100,EDT,Men,Arabian,"Sandalwood, musk, woody - amber, patchouli, oudh, dry woody-amber, amber","Rose, raspberry, dried fruits, ylang, geranium, jasmin, orris, muguet, saffron",4.0,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
955,BURBERRY,Burberry Body Intense,435.0,152.45,60,EDP,Women,Fruity,"Cashmere Wood, Amber, Vanille, Musk","Rose, Sandalwood, Iris",4.6,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
956,Mancera,Roses Vanille,450.0,285.0,120,EDP,Women,Arabian,"Cedar, Vanilla, Sugar, White Musk","Rose, Sugar",4.9,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
957,Mancera,Roses Vanille,450.0,239.95,120,EDP,Women,Arabian,"Vanilla, Sugar, White Musk, Cedar","Rose, Sugar",4.7,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
